ID;ALIMENTO;MEDIDA CASEIRA;PESO (g/ml);Kcal;CHO (g)
1;3 Corações®;;;;
2;Abacate;^{1} /_{4} unidade pequena;92;161;7
3;Abacate (picado);1 colher de sopa cheia;45;79;3
4;Abacaxi;1 fatia média;75;44;10
5;Abacaxi (polpa) congelada;1 saquinho;100;31;8
6;"Abacaxi com coco diet
Flormel®";1 tablete;25;113;19
7;Abacaxi em calda;1 fatia média;64;78;19
8;Abacaxi em caldas;1 fatia média;64;78;19
9;Abóbora cabotiá cozida;1 colher de sopa cheia;36;14;3
10;"Abóbora com coco diet
Flormel® cremoso";1 colher de sopa;20;36;7
11;"Abóbora com coco diet
Flormel® tablete";1 tablete;25;102;16
12;Abóbora-d’água cozida (picada);1 colher de sopa cheia;36;10;0
13;"Abóbora-moranga cozida
(picada)";1 colher de sopa cheia;36;7;1
14;"Abobrinha italiana cozida
(picada)";1 colher de sopa;20;3;0
15;Abobrinha italiana crua (picada);1 colher de sopa;20;4;1
16;"Abobrinha paulista crua
(picada)";1 colher de sopa;20;6;2
17;"Açaí (polpa) com xarope de
guaraná e glicose";1 pote médio;200;220;43
18;Açaí (polpa) congelada;1 pote pequeno;100;58;6
19;Açaí com xarope (suco);1 copo duplo;240;438;72
20;Açaí natural Frooty®;"6 colheres de sopa
rasas";60;62;13
21;Acelga (picada);1 colher de sopa cheia;6;2;0
22;Acerola;1 unidade pequena;12;4;1
23;Acerola (polpa) congelada;1 saquinho;100;22;6
24;Achocolatado (média);1 colher de sopa;16;113;14
25;Achocolatado (média);1 colher de sopa;16;113;14
26;Achocolatado Chocoki®;1 colher de sopa;8;13;5
27;Achocolatado diet Gold®;1 colher de sopa;5;16;3
28;Achocolatado diet Gold®;1 colher de sopa;5;16;3
29;Achocolatado diet Linea®;1 colher de sopa;12;30;5
30;Achocolatado diet Tal & Qual®;1 colher de sopa;5;15;3
31;Achocolatado diet Tal & Qual®;1 colher de sopa;5;15;3
32;Achocolatado light Nescau®;1 colher de sopa;9;32;7
33;Achocolatado light Nescau®;1 colher de sopa;9;32;7
34;Achocolatado light Taeq®;1 colher de sopa;10;34;7
35;Achocolatado light Taeq®;1 colher de sopa;10;34;7
36;Achocolatado light Toddy®;1 colher de sopa;10;37;8
37;Achocolatado light Toddy®;1 colher de sopa;10;37;8
38;Achocolatado Nescau®;1 colher de sopa;10;37;9
39;Achocolatado Nescau®;1 colher de sopa;10;37;9
40;Achocolatado Toddy®;1 colher de sopa;10;40;9
41;Achocolatado Toddy®;1 colher de sopa;10;40;9
42;Açúcar branco refinado;1 colher de sopa cheia;30;116;30
43;Açúcar cristal;1 colher de sopa;24;93;24
44;Açúcar light;1 colher de chá;4;16;4
45;Açúcar mascavo;1 colher de sopa rasa;11;41;11
46;Adoçante Tal e Qual® (em pó);1 colher de sopa;2;8;2
47;Agrião (picado);1 colher de sopa cheia;7;2;0
48;Agrião refogado;1 colher de sopa cheia;25;19;1
49;Água de coco Do Bem®;1 copo;200;43;11
50;Água de coco Kero coco®;1 copo;200;40;10
51;Água de coco Sococo®;1 copo;200;44;11
52;Água de coco verde;1 copo;200;36;8
53;Água tônica Antarctica®;1 copo;200;64;16
54;Água tônica zero Antarctica®;1 copo;200;0;0
55;Aguardente;1 dose;50;35;5
56;Aipim cozido (picado);1 colher de sopa cheia;37;44;22
57;Aipim frito;1 pedaço médio;70;211;35
58;Aipo cru (picado);1 colher de sopa rasa;10;2;0
59;Alcachofra cozida;1 pedaço médio;20;6;1
60;Alcaparra;1 colher de sopa cheia;27;10;1
61;Alface americana crua;1 folha média;10;1;0
62;Alface crua (média);1 prato de sobremesa;100;3;1
63;Alface lisa/crespa crua;1 folha média;10;1;0
64;Alface roxa crua;1 folha média;10;1;0
65;Alfajor Cacau Show®;1 unidade;40;120;23
66;Alfajor Havana Chocolate®;1 unidade;55;208;32
67;"Alfajor recheado com doce
de leite";1 unidade;25;98;15
68;Alfavaca crua;1 folha média;10;3;0
69;Algodão-doce;1 unidade;30;116;30
70;Algodão-doce Mavalério®;1 unidade;35;140;35
71;Alho;2 dentes pequenos;10;11;3
72;Alho-poró;1 colher de sopa cheia;20;11;3
73;All Bran Original Kellogg’s®;½ copo;40;104;18
74;Almeirão cru (picado);1 colher de sopa cheia;6;1;0
75;Almeirão refogado;1 colher de sopa cheia;30;20;2
76;Almôndega de peru;"1 unidade
pequena";25;45;6
77;"Almôndega de
carne frita";"1 unidade
pequena";30;82;5
78;"Almôndega de
frango crua";"1 unidade
pequena";45;90;6
79;Amaranto cru;1 colher de sopa cheia;25;91;16
80;Amaranto cru;"1 colher
de sopa
cheia";25;91;4
81;Ambrosia;1 colher de sopa;40;58;10
82;Ameixa com coco diet Flormel®;1 tablete;25;86;17
83;Ameixa em calda;1 unidade média;7;20;5
84;Ameixa preta;1 unidade média;42;18;4
85;Ameixa preta seca;1 unidade média;5;12;3
86;Ameixa vermelha;1 unidade média;42;23;5
87;Amêndoa;10 unidades;30;130;10
88;Amendocrem®;1 colher de sopa;20;122;6
89;Amendoim;1 colher de sopa cheia;19;111;4
90;Amendoim caramelizado;1 pacote pequeno;20;95;14
91;Amendoim japonês Yoki®;1 colher de sopa;15;75;5
92;Amendoim torrado;1 colher de sopa cheia;19;118;3
93;Amido de arroz;1 colher de sopa cheia;20;69;17
94;Amido de milho;1 colher de sopa cheia;20;72;18
95;Amora (diversas);1 unidade média;8;5;1
96;Angu;1 colher de sopa;35;44;9
97;Arroz à grega;1 colher de servir;60;75;18
98;Arroz basmatti cozido;1 colher de sopa cheia;25;27;6
99;Arroz branco cozido;1 colher de sopa cheia;25;26;5
100;Arroz branco cozido;1 colher de servir;45;58;13
101;"Arroz branco cozido
(instantâneo)";1 colher de sopa cheia;25;28;6
102;Arroz carreteiro;1 colher de servir;45;70;5
103;Arroz com amêndoas;1 colher de servir;60;75;18
104;Arroz com lentilha;1 colher de servir;45;71;12
105;Arroz com linguiça;1 colher de sopa cheia;60;116;12
106;Arroz com passas;1 colher de sopa cheia;25;37;8
107;Arroz com pequi;1 colher de sopa cheia;60;97;17
108;Arroz doce;1 colher de sopa;30;51;10
109;Arroz doce diet;1 colher de sopa;30;41;6
110;Arroz frito;1 colher de sopa cheia;25;48;6
111;Arroz integral com brócolis;1 colher de sopa cheia;25;26;5
112;Arroz integral cozido;1 colher de sopa cheia;20;25;5
113;Arroz integral cozido;1 colher de servir;50;54;12
114;Arroz parboilizado;1 colher de sopa cheia;28;35;7
115;Arroz piamontese;1 colher de servir rasa;40;72;8
116;Arroz preto cozido;1 colher de sopa cheia;25;88;18
