Candidates for manual review (count == 1)
Format: function_name | file | lineno | reference_count

_call | db_adapter.py | 28 | 0
_carregar_alimentos_json | logica.py | 431 | 0
_load_json_data | database_manager.py | 29 | 0
_migrate_json_to_sqlite | database_manager.py | 338 | 0
_now | service_manager.py | 130 | 0
add_new_columns | database_manager.py | 235 | 0
adicionar_alimento | app.py | 1183 | 0
adicionar_colunas_ausentes | database_manager.py | 184 | 0
adicionar_colunas_calculo | database_manager.py | 203 | 0
adicionar_insulina_config | database_manager.py | 2657 | 0
adicionar_registro | logica.py | 511 | 0
admin_only | app.py | 134 | 0
agendamentos_redirect | app.py | 1850 | 0
agendar_consulta | app.py | 1928 | 0
agendar_para_paciente | app.py | 1889 | 0
alimentos | app.py | 1158 | 0
atualizar_alimento | database_manager.py | 1250 | 0
atualizar_perfil_usuario | logica.py | 48 | 0
atualizar_perfil_usuario | logica.py | 409 | 0
atualizar_registro | database_manager.py | 1454 | 0
atualizar_registro | logica.py | 129 | 0
atualizar_registro | logica.py | 547 | 0
atualizar_status_agendamento | app.py | 1984 | 0
atualizar_status_agendamento | database_manager.py | 1938 | 0
atualizar_status_agendamento | logica.py | 328 | 0
atualizar_status_agendamento | logica.py | 599 | 0
atualizar_status_paciente | app.py | 1865 | 0
atualizar_usuario | database_manager.py | 941 | 0
buscar_agendamentos_paciente | database_manager.py | 1832 | 0
buscar_agendamentos_por_medico | database_manager.py | 1888 | 0
buscar_alimentos | app.py | 1427 | 0
buscar_alimentos_por_nome | database_manager.py | 1208 | 0
buscar_alimentos_por_nome | logica.py | 113 | 0
buscar_dados_registros | relatorios.py | 16 | 0
buscar_doses_insulina_recentes | database_manager.py | 2443 | 0
buscar_doses_insulina_recentes | db_adapter.py | 49 | 0
buscar_doses_insulina_recentes | tests\test_bolus_quick.py | 15 | 0
buscar_doses_insulina_recentes | tests\test_bolus_service.py | 15 | 0
buscar_doses_insulina_recentes | tests\test_database_manager_adapter.py | 20 | 0
buscar_exames_paciente | database_manager.py | 1626 | 0
buscar_todos_agendamentos | database_manager.py | 1953 | 0
buscar_ultima_glicemia | database_manager.py | 2480 | 0
buscar_ultima_glicemia | db_adapter.py | 57 | 0
buscar_ultima_glicemia | tests\test_database_manager_adapter.py | 26 | 0
cadastro | app.py | 464 | 0
calculadora_bolus | app.py | 1309 | 0
calcular_bolus_detalhado | logica.py | 687 | 0
calcular_bolus_total | service_manager.py | 165 | 0
calcular_dose_media_aplicada | database_manager.py | 2540 | 0
calcular_fator_sensibilidade | logica.py | 679 | 0
calcular_fs | app.py | 1380 | 0
calcular_insulina_ativa | service_manager.py | 216 | 0
calcular_media_glicemia_por_medico | database_manager.py | 2179 | 0
carregar_agendamentos | logica.py | 286 | 0
carregar_agendamentos_medico | database_manager.py | 1702 | 0
carregar_agendamentos_paciente | database_manager.py | 1709 | 0
carregar_agendamentos_paciente | logica.py | 311 | 0
carregar_alimento_por_id | database_manager.py | 1139 | 0
carregar_alimentos | database_manager.py | 1127 | 0
